status	name	sha256	note
success	为什么世界不会失控万物演化中的物理学世界顶尖能源科学家启发心智的革命性巨著当代最震撼的科学突破美国国家地理科克斯评论出版人周刊等各大权威媒体盛情推荐颠覆达尔文物种起源 .epub	f549c8e4cf0e5e95e10089b4c708a6f28e75399051144aeab98604afa1177b80	verified and replaced
success	复杂性思维八部曲拉格朗日奖熊彼特奖得主布莱恩阿瑟风靡全球超过100万人反复学习的模型思维课首创者斯科特佩奇21世纪的亚当斯密埃里克拜因霍克世界著名哲学家让尼科奖丹尼尔丹尼特.epub	a5f6400defd6ba45e0fc8b006398d689b2f0dd43795b48ca9df50978d2edd817	verified and replaced
success	季风吹拂的土地现代东南亚的碎裂与重生金融时报选书一本书读懂现代东南亚了解东南亚的两面性和真相旅居四十年亲历冲突调停直击重大现场深度把脉东南亚的社会症结与历史重负撕开度.epub	ebd1e9e534f233da415ef8a8f535f0f70137fbdc4cc81d10864e2bbf2f595729	verified and replaced
success	寒鸦劫盛颜武侠中篇合集寒鸦劫被网友称赞为武侠第一中篇大陆新武侠代表三京画本作者盛颜中篇合集如牡丹绚丽的盛唐如寒鸦萧瑟的宋末最适合江湖行走儿女情长.epub	37c1f5f5c7993193b6af04c8f23844466bac214d763f76bf811869cffcdbf483	verified and replaced
success	岩波日本史共8卷日本学术出版社岩波书店镇社之宝畅销日本二十年完整而系统的日本通史结合时局概览和历史细节还原真实的历史现场国内首次引进全译版.epub	209b7d825d43b68db787dd4fd61d018d69b1c77929a1d57d932b28167976ead8	verified and replaced
success	所有工具都是锤子超级创客的自我修养流言终结者制作人主持人创意工作手册凯文凯利盛赞的创意管理大师从寻找灵感到贯彻执行挖掘所有优秀创造者核心技能自我管理高效原则重塑力跨界.epub	449f31133fc92f3694ed56d668c698bda1d7c404e31d53a139715c6a3a920f78	verified and replaced
success	有生之年一定要读的科幻经典烧脑神作共28册阿西莫夫忌辰纪念套装阿瑟克拉克经典科幻超值套装海伯利安四部曲光明王系列神经漫游者零伯爵侏罗纪公园 读客全球顶级畅销小说文库.epub	ffed47da7d75453f5bc5f0568a736c2ff8766a49f9c9134df09143140c00fa09	verified and replaced
success	未来呼啸而来一部让人热血沸腾酣畅淋漓的杰作9大指数型技术和指数型技术融合颠覆的8大行业打开下一个10年商业发展的寻宝图多家权威媒体选出的2020年必读商业新书清华大学和上海交大EM.epub	2f69e98dbcce68850fb834343f3b73652205bbc54d2499ee8c7f6acf856e7a0e	verified and replaced
success	祥瑞王莽和他的时代搁置定论厘清王莽真容揭示两汉皇权真相丰厚细节再现政途跌宕叩问儒家使命得失新锐文史作家张向荣首部历史非虚构作品罗新刘勃陆大鹏力荐.epub	6fd7f7f10ccb5903869c6fb1b7737ceb26d5bffee8a01759bccc139eb1eb90d8	verified and replaced
success	腓尼基启示录幻象文库科技狂人马斯克多次致敬扎克伯格将其列入必读书单当代科幻的颠覆之作关于宇宙生命的恢弘想象和史诗性篇章世界科幻大师当代狄更斯伊恩M.epub	bd8973e551d0595d240c89b10e657dc87d9894c623ef8e7078e7150ce8eb7732	verified and replaced
success	英国故事从 11 世纪到脱欧动荡千年历史的四重变奏后脱欧时代重新认识英国新旧秩序交替的历史性时刻来自剑桥历史学家的独到见解聚焦四大核心问题洞察英国千年历史摆脱虚构以真相把握.epub	a8274b26983158fd53182cd3929cb55fc356934ff92f0999db7222a088bf666a	verified and replaced
success	蚱蜢游戏生命与乌托邦台版豆瓣92分驳倒了维特根斯坦游戏运动哲学史上必读经典之作多伦多大学名誉校长剑桥大学耶鲁大学知名哲学教授强烈推荐玩游戏就是自愿去克服非必要的障碍游戏.epub	7a42000d792a74659bb19bf492ecb4c152ba46b85e8088ae903f49b38543fb0d	verified and replaced
success	被遗忘的萧条经济危机与应对之策重温1918年大流感后的经济崩溃探寻后疫情时代的经济复苏之路毛寿龙作序鲁政委冯兴元福布斯华尔街日报巴伦周刊等推荐.epub	b6188b87939c04c75021b33f692d1cc6a8980236f7f38642fbd47fff3fdd84b3	verified and replaced
