status	name	sha256	note
success	SQL必知必会第4版.epub	b1f18525dcdac50b0f2dfb75fd0d176b6e413b3848fd1035cb622bda66308035	verified and replaced
success	东京贫困女子关于贫困女性需要的不是同情而是警醒.epub	316a3c2f9b44aa6e035c8a838f984940f13e112b92cbdc3597b8bcfebfa9d0d1	verified and replaced
success	乐理小白的写歌秘籍流行歌曲旋律写作教程.epub	5c5ed1194c67050efcc680d39578f211c51df573d1234d2dedcfc30d359d38f4	verified and replaced
success	代码整洁之道.epub	3d8f699ddbd3226c09fff91f772a8b3c47ed2a0af35678ff0f9a5f921f9d4244	verified and replaced
success	全球简史.epub	4b133fddfe426b6068996e73dab946d92e4243f355cbc308f439a82f6ffa6f07	verified and replaced
success	历史上的大帝国2000年暴力与和平的全球简史.epub	9ee4bf030b162f68a100414dc9f6befe4720b2289f2fa25bfef169aeac9c9f1f	verified and replaced
success	图灵经典计算机基础系列套装全4册.epub	e4a8ada93b8f4acb5e66b1aeb5dfc426f2c8d0cbd49caa7dc6f36ebb97754b60	verified and replaced
success	埃及希腊与罗马古代地中海文明.epub	ff4edb126a9932c6f7603fc3a0cba050753b340e3a6f1e58be56f91170274afd	verified and replaced
success	埃隆马斯克传.epub	cbff8c591b316383fc750987b58cd7af45c43fab13ab63f25a54512417f3d6a8	verified and replaced
success	基层中国的运行逻辑.epub	b56fda1096e8077c799155ede2535a88a256dfad70b04befc6f47304575186eb	verified and replaced
success	夜晚的潜水艇陈春成首部小说集 收获文学排行榜入选作品 阿乙贾行家史航 推荐 理想国出品.epub	2d6330d00524169bf3b8e9af165e5144a8b61dd7d3adab2324b42986efca81ab	verified and replaced
success	太白金星有点烦.epub	f4be68e8536bd98becf0fbd91dad298ea471ffd820f00d4e9ff121edab998274	verified and replaced
success	弗诺文奇经典科幻全集套装共5册精准预见未来 未读文艺家 Anthology.epub	02b69121f60514a6220bf0aab7d9f34b614d2f850417c2b955110d601e135287	verified and replaced
success	我的第一本算法书.epub	1cb73662cd6caa7b91df5cc45476144ec0a9535a6c51e180c9bf77803646585d	verified and replaced
success	文明的故事套装全11卷全球2000万家庭收藏的传世经典.epub	634a35c9e79a14a9f844b9bc67a83738d12f6359d705e122aedc9032b46a07c1	verified and replaced
success	早稻田大学日本史1-12卷早稻田大学出版部推出的里程碑式的巨著日本的无冕国史 .epub	df51de5adcbf69799aedf16816d4a83ab3af44cf2352cf2af7680fcd7db4799c	verified and replaced
success	江城.epub	f6c114a70d9e128c2a1a2661a4f81e9e8e226952ccc9cacde0fd558f175cc692	verified and replaced
success	流行音乐简史套装上海音乐出版社出品引领爱乐新浪潮中国流行音乐+欧美流行音乐一网打尽告诉你那些流行乐坛台前幕后不为人知的秘密一套带你沉浸式感受中外流行音乐发展之路的指南.epub	801e1bfb96232e733781b2a657a13470471bbb6ead8f84ba2c9cb7afb3a5c51b	verified and replaced
success	繁荣与衰退elib.epub	bab9a7e5e7420a5cc90ea16f639a7d4b930283086b7cab12743d3f31e7040305	verified and replaced
success	路边野餐外星人的一次路边野餐却成了人类的一场浩劫提前14年预言切尔诺贝利核泄漏事件的科幻奇书毕赣同名电影致敬之作.epub	6682573b584e69b6ecf3ae91b93769cf265d62f87281b4eea135e3a6b8687eb5	verified and replaced
success	远东的线索.epub	deb10dd1c26078d444417960acd3419e6b8321ddcdbdd4e895cac07ac87f424f	verified and replaced
success	進擊的巨人 - 卷00.epub	e49092369cc57a5242582ad98e28bf70a002cf1065bc7c1d111a401b0542ef2b	verified and replaced
success	重新理解创业 一个创业者的途中思考.epub	7c228f6c68a0a87224d0d177ed4d7c747b55b800cf743e96310a63ea62592ae3	verified and replaced
success	阿瑟黑利系列套装共6册.epub	588ff4e1c069f0201310a965a36b3298a7754a67e180d125c616c7dd40a38efc	verified and replaced
success	面纱.epub	401ffeaa754c76b5c9c24698d51dfca24707bd02127518bb54d2a9454a0e6bd1	verified and replaced
success	香港史 西方最权威最详尽的香港通史.epub	91977246526e60eddd1d3b3ac64f709febb4a69c6fa04c3ef1e910f3d8087afc	verified and replaced
